ID_REF, IDENTIFIER, GSM21832, GSM19135, GSM9514, GSM42864
C7, C7, 13.500, 35.200, 4.400, 50.400
CCDC130, CCDC130, 208.700, 69.300, 145.000, 141.800
RQCD1, RQCD1, 14.200, 3.700, 21.600, 56.000
MTUS1, MTUS1, 93.200, 380.300, 252.800, 1991.700
ARFIP2, ARFIP2, 246.400, 303.300, 386.800, 745.700
UROS, UROS, 251.000, 108.400, 209.200, 810.200
LEMD3, LEMD3, 502.100, 42.900, 82.800, 445.300
TRAPPC10, TRAPPC10, 338.600, 54.500, 6.600, 99.000
PLEKHF2, PLEKHF2, 1589.800, 98.100, 79.700, 171.000
KHDRBS2, KHDRBS2, 117.100, 26.100, 3.800, 14.200
HOXA7, HOXA7, 43.300, 13.300, 31.700, 336.600
FAM173A, FAM173A, 176.900, 62.100, 80.800, 193.200
POLQ, POLQ, 237.000, 46.600, 135.000, 217.900
NM_018611, NM_018611, 12.600, 4.300, 3.200, 75.900
GTF3C2, GTF3C2, 717.200, 255.900, 267.500, 1013.800
SOAT1, SOAT1, 575.400, 13.600, 95.800, 191.000
SPAG4, SPAG4, 19.000, 18.500, 82.600, 70.100
MRPS30, MRPS30, 258.500, 113.500, 375.800, 542.400
MR1, MR1, 112.800, 11.000, 2.800, 30.500
HSFX2, HSFX2, 40.900, 17.400, 19.100, 7.400
F8, F8, 335.600, 51.800, 70.300, 76.300
KPNA5, KPNA5, 4.300, 9.100, 14.000, 44.700
ACHE, ACHE, 6.300, 7.100, 4.200, 10.400
TNFRSF12A, TNFRSF12A, 358.800, 99.600, 1079.300, 1401.900
C5orf54, C5orf54, 14.600, 17.800, 126.800, 90.000
EGR3, EGR3, 131.700, 33.100, 23.600, 315.400
TCEB3B, TCEB3B, 7.700, 19.800, 19.300, 45.300
ZNF184, ZNF184, 27.900, 4.800, 53.600, 90.000
OASL, OASL, 1025.300, 129.300, 841.300, 171.600
SERPIND1, SERPIND1, 12.300, 5.300, 9.400, 5.700
IFRD1, IFRD1, 959.000, 59.700, 461.200, 193.500
LOC100288281, LOC100288281, 55.500, 39.300, 87.200, 175.100
SPINLW1, SPINLW1, 115.000, 26.500, 36.300, 72.600
KCTD9, KCTD9, 178.500, 57.700, 110.700, 468.800
PRR14, PRR14, 1473.800, 106.500, 573.400, 779.800
HCG4P6, HCG4P6, 133.700, 4.700, 30.000, 87.200
ZNF267, ZNF267, 1110.400, 33.100, 123.500, 154.500
PPP1R3A, PPP1R3A, 21.300, 5.700, 12.600, 19.100
ZBTB6, ZBTB6, 57.600, 14.800, 39.100, 34.300
PRR11, PRR11, 1617.300, 117.200, 135.500, 761.200
PHC1B, PHC1B, 131.400, 28.300, 220.900, 498.900
ACTN2, ACTN2, 197.600, 33.200, 76.700, 222.500
TXNIP, TXNIP, 21573.600, 1435.400, 251.500, 236.400
SKA1, SKA1, 2.600, 13.800, 178.300, 31.400
NUDT3, NUDT3, 831.300, 87.700, 279.800, 747.400
DFNA5, DFNA5, 127.000, 182.800, 412.700, 423.200
RPL36AL, RPL36AL, 2881.100, 874.000, 1236.200, 3943.000
KLK15, KLK15, 13.100, 2.600, 24.100, 26.800
RAP2B, RAP2B, 44.900, 2.000, 3.000, 14.500
CHAD, CHAD, 30.000, 9.700, 5.300, 124.800
HEBP2, HEBP2, 2663.100, 317.700, 808.700, 1551.300
GABPA, GABPA, 156.900, 22.900, 69.200, 294.400
NM_030896, NM_030896, 14.100, 4.400, 3.800, 7.700
LOC728344, LOC728344, 29.600, 63.500, 211.600, 381.400
CAMK2G, CAMK2G, 474.000, 100.900, 43.800, 71.400
TLR3, TLR3, 56.900, 73.200, 36.900, 214.600
SRSF8, SRSF8, 431.300, 264.600, 298.700, 2954.000
TARDBPL, TARDBPL, 22.200, 9.600, 17.600, 43.300
FGF14, FGF14, 17.400, 3.300, 5.200, 6.900
HMGB2, HMGB2, 8447.800, 192.200, 1535.600, 2432.200
POLB, POLB, 885.400, 81.000, 329.900, 364.400
KIF3B, KIF3B, 455.400, 162.300, 188.600, 654.200
CSRNP3, CSRNP3, 63.900, 2.800, 2.600, 6.000
C3orf27, C3orf27, 12.600, 3.000, 2.500, 9.400
MTMR9, MTMR9, 270.100, 32.400, 55.300, 503.000
SEC31A, SEC31A, 134.500, 40.800, 121.500, 128.900
TRIM58, TRIM58, 296.600, 1.500, 1.000, 5.200
IGJ, IGJ, 303.300, 819.700, 8.300, 2.000
TAS2R14, TAS2R14, 106.100, 33.000, 24.000, 53.300
NSDHL, NSDHL, 110.900, 59.200, 67.900, 502.400
GLRA3, GLRA3, 72.000, 6.400, 24.900, 40.300
VPS8, VPS8, 1262.400, 84.500, 128.000, 435.100
H1F0, H1F0, 261.900, 474.300, 2905.800, 691.300
POLR2D, POLR2D, 44.400, 19.400, 61.700, 149.000
C9orf114, C9orf114, 164.000, 50.300, 76.900, 172.300
TOR1B, TOR1B, 1003.100, 200.600, 229.400, 774.000
LSS, LSS, 74.900, 31.200, 81.100, 143.900
AK022686, AK022686, 23.600, 5.600, 19.900, 38.300
TOPORS, TOPORS, 315.600, 17.700, 146.600, 276.200
HNRNPC, HNRNPC, 2519.200, 660.800, 1612.200, 5320.600
TMEM100, TMEM100, 4.700, 15.900, 11.100, 62.900
AF070620, AF070620, 342.400, 30.600, 5.000, 90.600
DHRS9, DHRS9, 1363.300, 389.400, 49.500, 128.300
ISG15, ISG15, 829.700, 142.700, 4315.900, 1404.400
DNAH2, DNAH2, 26.500, 5.700, 6.200, 12.900
ZCCHC14, ZCCHC14, 6.000, 2.900, 4.300, 14.100
FXR1, FXR1, 833.500, 137.100, 576.300, 2268.100
ZMYM3, ZMYM3, 241.200, 113.100, 146.700, 667.800
CREBL2, CREBL2, 376.100, 110.700, 92.600, 353.800
TGDS, TGDS, 307.400, 62.000, 142.200, 176.400
CASP3, CASP3, 451.900, 74.500, 81.800, 280.300
FAM120C, FAM120C, 10.400, 6.000, 26.600, 16.700
KCNQ1DN, KCNQ1DN, 22.900, 3.000, 3.500, 9.800
AV700338, AV700338, 28.200, 3.000, 23.300, 80.400
SCLY, SCLY, 97.400, 19.200, 73.000, 125.900
CACNA2D3, CACNA2D3, 225.700, 4.000, 16.500, 10.600
TPRA1, TPRA1, 253.900, 45.100, 133.900, 303.500
CCRL2, CCRL2, 98.500, 67.500, 17.700, 255.100
AK025325, AK025325, 249.200, 50.300, 78.800, 129.600
CA7, CA7, 109.700, 73.700, 92.100, 206.900
LOC440926, LOC440926, 58656.300, 4719.200, 2800.700, 24145.100
ENTPD5, ENTPD5, 75.500, 87.100, 41.500, 136.900
SUCLG1, SUCLG1, 1316.200, 1033.600, 631.200, 2065.500
AK025064, AK025064, 970.500, 80.900, 70.700, 393.700
PDIA5, PDIA5, 366.500, 181.800, 311.900, 1300.300
KCTD20, KCTD20, 611.500, 58.700, 192.800, 495.000
WDR47, WDR47, 629.900, 41.900, 67.100, 180.100
KLRF1, KLRF1, 295.800, 4.300, 18.700, 2.000
MAGEH1, MAGEH1, 152.400, 46.100, 58.700, 285.300
PRPF40A, PRPF40A, 1491.100, 203.200, 444.100, 1310.500
SMR3A, SMR3A, 15.900, 5.200, 4.700, 22.100
TAS2R16, TAS2R16, 128.100, 28.000, 29.400, 74.900
SPINK2, SPINK2, 32.600, 14.900, 9.200, 37.700
NPY5R, NPY5R, 301.400, 40.500, 31.700, 95.300
IRF4, IRF4, 7.900, 1.500, 0.500, 5.100
PRKCE, PRKCE, 182.300, 43.400, 52.000, 126.000
AW503390, AW503390, 400.300, 25.100, 22.900, 125.900
ITGAM, ITGAM, 9093.100, 58.400, 26.700, 90.900
RGS2, RGS2, 35913.600, 459.900, 120.700, 489.000
DDX19A, DDX19A, 125.100, 22.800, 108.400, 436.300
PDPN, PDPN, 15.900, 4.200, 19.900, 53.300
MST1R, MST1R, 239.000, 227.200, 29.000, 106.000
PLCXD1, PLCXD1, 242.700, 138.100, 198.400, 513.500
COL3A1, COL3A1, 8.100, 5.200, 2.200, 51.500
PTMA, PTMA, 961.400, 833.200, 1393.500, 5643.300
PRDM11, PRDM11, 177.300, 11.100, 14.700, 81.800
NAPA, NAPA, 467.900, 101.200, 160.300, 577.500
DIRAS3, DIRAS3, 14.900, 9.700, 19.900, 95.200
LIPF, LIPF, 52.700, 3.000, 11.200, 21.200
PSG9, PSG9, 16.300, 3.600, 4.700, 17.700
ASGR2, ASGR2, 1328.000, 4.400, 7.400, 36.000
ARHGEF11, ARHGEF11, 343.200, 77.700, 69.200, 284.100
PIK3R4, PIK3R4, 6.000, 6.900, 7.500, 2.800
IVNS1ABP, IVNS1ABP, 2028.100, 172.800, 225.800, 889.000
SIGIRR, SIGIRR, 744.000, 233.300, 109.600, 4108.300
BTBD3, BTBD3, 102.200, 102.300, 182.500, 644.300
UBE2NL, UBE2NL, 564.500, 139.300, 218.600, 578.000
PPP1R2, PPP1R2, 22.300, 1.400, 4.700, 10.000
FOSL2, FOSL2, 548.200, 34.200, 70.900, 237.500
UBXN8, UBXN8, 128.600, 44.500, 62.900, 302.100
AL080082, AL080082, 34.600, 5.100, 4.500, 23.500
IL1RAPL2, IL1RAPL2, 443.700, 34.900, 13.100, 206.000
AF007136, AF007136, 112.500, 23.800, 24.700, 106.300
TUBA4A, TUBA4A, 4911.000, 281.000, 324.600, 406.800
SEPT4, SEPT4, 61.800, 5.100, 50.600, 31.200
EPPK1, EPPK1, 157.000, 81.200, 51.100, 146.900
EEF2, EEF2, 7768.500, 1331.900, 4113.700, 10824.900
ZDHHC11, ZDHHC11, 148.100, 25.600, 11.500, 88.100
HNF1A, HNF1A, 124.000, 41.600, 37.500, 133.500
EPHA3, EPHA3, 23.100, 7.000, 13.500, 23.200
PRDX3, PRDX3, 182.400, 40.600, 44.600, 105.300
P4HA2, P4HA2, 23.500, 219.300, 487.100, 663.300
RFWD3, RFWD3, 129.700, 14.700, 111.700, 273.800
RBM12, RBM12, 147.900, 16.400, 27.200, 295.400
H2AFJ, H2AFJ, 75.900, 16.300, 26.300, 38.200
LOC100134209, LOC100134209, 48.200, 4.600, 6.300, 21.700
EDIL3, EDIL3, 164.700, 28.500, 43.900, 146.000
NM_014136, NM_014136, 105.600, 25.300, 4.200, 69.000
SERGEF, SERGEF, 11.900, 14.600, 29.600, 14.500
B3GALT4, B3GALT4, 336.400, 63.300, 10.500, 46.000
SMC2, SMC2, 78.200, 41.000, 179.700, 229.000
LOC90925, LOC90925, 11.300, 5.400, 5.000, 9.400
NPFF, NPFF, 64.100, 32.100, 23.700, 80.100
PECAM1, PECAM1, 2577.500, 36.600, 3.100, 2912.200
DEDD, DEDD, 1152.500, 127.100, 254.200, 1064.900
SCYL2, SCYL2, 442.300, 38.300, 163.200, 497.100
PTPN1, PTPN1, 5.900, 2.400, 5.100, 11.400
FAM86A, FAM86A, 16.500, 8.800, 8.100, 17.900
ZNF174, ZNF174, 8.900, 4.600, 40.400, 13.400
PEX2, PEX2, 377.400, 135.800, 95.000, 397.900
MYH14, MYH14, 561.700, 699.800, 91.900, 350.200
CCR8, CCR8, 183.100, 22.400, 36.300, 44.000
SKAP1, SKAP1, 562.900, 92.600, 57.300, 146.900
GADD45G, GADD45G, 110.600, 44.000, 3.800, 15.000
PILRB, PILRB, 625.500, 139.100, 47.600, 110.500
IFITM3, IFITM3, 16048.200, 945.100, 5015.500, 11836.200
DNMT3L, DNMT3L, 34.400, 2.300, 10.000, 12.700
GPATCH1, GPATCH1, 81.800, 29.300, 47.400, 117.300
VPS37C, VPS37C, 630.800, 144.400, 176.800, 372.900
DSC3, DSC3, 23.200, 22.900, 29.300, 22.300
TBX4, TBX4, 99.100, 4.400, 4.500, 12.200
B3GNT3, B3GNT3, 175.200, 102.100, 15.000, 114.100
LHCGR, LHCGR, 26.500, 8.700, 6.800, 25.600
SAP130, SAP130, 565.000, 106.100, 271.400, 1105.900
UBE2S, UBE2S, 314.900, 109.500, 2650.800, 1530.300
BC003528, BC003528, 64.100, 15.400, 21.100, 56.900
LOC100127922, LOC100127922, 3199.200, 290.600, 861.200, 3364.200
CNR2, CNR2, 307.300, 71.400, 92.000, 202.800
PCDH1, PCDH1, 7.800, 29.200, 39.300, 147.100
COX6CP1, COX6CP1, 57.200, 23.100, 40.000, 161.400
ATP6V1B2, ATP6V1B2, 10763.200, 534.400, 328.900, 1427.500
PLCG2, PLCG2, 2746.100, 192.100, 157.100, 569.800
MAGEA2B, MAGEA2B, 4.200, 3.400, 21.300, 10.200
CAPZA1, CAPZA1, 10.600, 1.800, 2.100, 2.600
AGAP8, AGAP8, 792.600, 218.800, 222.500, 326.400
GLRX3, GLRX3, 272.700, 123.500, 490.500, 470.900
HRH3, HRH3, 49.600, 6.100, 7.300, 38.200
KIAA0247, KIAA0247, 3746.300, 297.900, 84.100, 1943.400
CRYGD, CRYGD, 15.900, 32.100, 20.500, 65.200
HTR2B, HTR2B, 10.100, 1.600, 0.700, 16.200
CCR1, CCR1, 2481.100, 16.900, 2.600, 11.600
DNAJA2, DNAJA2, 733.100, 73.600, 374.500, 652.200
PGRMC1, PGRMC1, 1681.200, 602.700, 661.500, 2848.400
UVRAG, UVRAG, 328.800, 58.400, 136.200, 201.300
ITGA2B, ITGA2B, 6.300, 4.600, 2.600, 3.900
CLDN5, CLDN5, 17.600, 7.600, 4.300, 1895.500
PTPRN2, PTPRN2, 126.900, 50.200, 13.600, 200.700
PSAP, PSAP, 23854.100, 2106.600, 2651.700, 10581.100
MYOM2, MYOM2, 473.200, 4.900, 28.400, 92.700
NCS1, NCS1, 24.500, 5.400, 104.000, 426.000
CHM, CHM, 5.600, 3.600, 9.800, 123.400
CCNL1, CCNL1, 2108.800, 326.500, 222.700, 459.700
FAM105A, FAM105A, 520.500, 55.800, 20.400, 10.300
LYN, LYN, 12072.500, 118.100, 81.500, 177.000
DUSP6, DUSP6, 3204.300, 5.700, 4.900, 2639.600
TGFB3, TGFB3, 200.500, 54.300, 58.000, 99.400
TOMM6, TOMM6, 1350.400, 495.000, 702.200, 4389.600
AF070575, AF070575, 79.600, 22.300, 29.900, 83.100
PCDH11Y, PCDH11Y, 91.900, 15.700, 44.500, 77.600
NAP1L3, NAP1L3, 66.800, 6.500, 40.000, 244.400
ELK1, ELK1, 11.000, 12.700, 99.500, 61.900
HMGB3L1, HMGB3L1, 69.300, 25.300, 184.400, 174.000
HGD, HGD, 155.000, 60.100, 20.200, 107.500
C10orf57, C10orf57, 88.300, 31.900, 49.000, 140.000
B3GALNT1, B3GALNT1, 48.700, 11.900, 26.600, 46.700
AK024988, AK024988, 310.300, 5.900, 14.200, 264.400
AARSD1, AARSD1, 228.100, 50.800, 133.400, 346.500
MYO3A, MYO3A, 7.500, 1.200, 2.600, 4.500
SERPINE2, SERPINE2, 232.400, 214.400, 628.200, 712.700
GDAP2, GDAP2, 211.600, 53.100, 50.500, 120.200
AF238870, AF238870, 196.800, 28.300, 32.900, 262.000
MAPK6, MAPK6, 724.900, 714.500, 554.300, 1048.900
COX6B1, COX6B1, 2607.200, 1055.800, 937.600, 3467.600
DNASE2, DNASE2, 87.200, 27.800, 241.600, 119.200
LGMN, LGMN, 22.000, 58.000, 203.800, 481.400
TCN1, TCN1, 419.100, 38.700, 12.600, 52.600
SLC24A6, SLC24A6, 726.000, 92.400, 121.700, 274.000
RNFT1, RNFT1, 57.200, 1.500, 1.800, 51.200
TATDN2, TATDN2, 713.900, 177.300, 250.500, 535.300
SDCBP, SDCBP, 20064.400, 677.300, 529.700, 3468.000
NUDT11, NUDT11, 14.500, 6.900, 63.700, 265.600
LILRB1, LILRB1, 2553.800, 27.100, 16.100, 22.300
PYGL, PYGL, 8702.500, 57.600, 356.200, 499.600
FAM65B, FAM65B, 6454.000, 36.500, 1.400, 4.700
SNPH, SNPH, 5.200, 6.700, 12.000, 30.400
NUCB2, NUCB2, 329.700, 64.800, 150.300, 581.400
B3GNT4, B3GNT4, 277.700, 27.100, 59.100, 145.400
SNX27, SNX27, 1740.400, 150.400, 126.700, 439.700
FLJ00049, FLJ00049, 21.700, 4.900, 20.100, 41.100
FOXO4, FOXO4, 158.600, 4.600, 21.700, 120.200
NUBPL, NUBPL, 47.800, 28.400, 63.100, 221.900
NOD1, NOD1, 347.900, 112.500, 108.900, 353.900
ID4, ID4, 130.300, 26.300, 22.500, 82.400
CDH22, CDH22, 11.000, 5.300, 24.500, 71.600
SOX5, SOX5, 81.100, 28.000, 34.000, 52.100
NUBP1, NUBP1, 364.300, 91.500, 150.500, 271.300
DSCAM, DSCAM, 42.600, 10.000, 17.200, 31.400
INA, INA, 151.500, 20.800, 296.400, 141.400
DGKI, DGKI, 31.500, 10.700, 21.200, 6.400
MCOLN1, MCOLN1, 480.400, 42.200, 79.300, 217.100
FAM136A, FAM136A, 213.400, 141.200, 432.900, 386.700
RIN3, RIN3, 2423.100, 53.200, 100.300, 307.800
NFIX, NFIX, 21.100, 12.000, 21.900, 67.400
SLC16A6, SLC16A6, 483.800, 2.800, 25.400, 52.400
AKAP1, AKAP1, 18.600, 2.400, 8.500, 23.200
PSG2, PSG2, 27.700, 13.700, 6.100, 76.100
AK021983, AK021983, 412.400, 13.300, 17.100, 186.400
HIBCH, HIBCH, 160.200, 114.000, 156.900, 534.600
PLA2G5, PLA2G5, 9.400, 16.100, 17.600, 10.700
TIMM10, TIMM10, 241.100, 103.700, 303.600, 854.500
MED17, MED17, 333.800, 44.600, 145.600, 368.200
PSORS1C1, PSORS1C1, 65.100, 3.500, 6.500, 18.800
KIAA0495, KIAA0495, 277.600, 54.300, 240.600, 429.000
LPA, LPA, 9.300, 2.000, 13.800, 6.800
PIGA, PIGA, 180.900, 26.500, 72.600, 88.400
COL4A4, COL4A4, 7.400, 2.500, 1.800, 4.500
LY75, LY75, 1449.200, 153.200, 6.500, 61.100
TPP1, TPP1, 1262.600, 131.900, 497.500, 1443.600
UTS2, UTS2, 11.200, 10.700, 14.400, 17.800
GJA3, GJA3, 6.700, 1.300, 2.800, 5.500
RREB1, RREB1, 20.200, 3.300, 7.500, 22.400
TMPRSS5, TMPRSS5, 139.300, 22.500, 39.600, 141.600
LOC728564, LOC728564, 92.800, 23.000, 40.500, 59.400
DNMBP, DNMBP, 328.400, 297.200, 91.400, 563.900
LPHN1, LPHN1, 153.400, 51.300, 170.600, 540.600
NQO1, NQO1, 30.200, 302.100, 603.200, 2939.000
ZSCAN2, ZSCAN2, 19.100, 1.300, 6.700, 14.200
SP1, SP1, 220.100, 25.500, 53.900, 279.400
AU146945, AU146945, 58.000, 3.400, 23.600, 29.800
TOX4, TOX4, 364.700, 64.800, 98.600, 454.100
SEC24C, SEC24C, 915.600, 220.200, 218.800, 600.600
HSPA9, HSPA9, 227.100, 160.600, 1892.800, 1683.200
APOBEC1, APOBEC1, 122.100, 278.100, 38.500, 85.200
SURF1, SURF1, 19.100, 2.500, 2.900, 9.400
LSM5, LSM5, 330.300, 138.000, 784.000, 1670.600
ZBTB1, ZBTB1, 594.000, 80.800, 155.800, 1546.200
GTF2F1, GTF2F1, 267.100, 104.800, 276.600, 688.900
DUSP21, DUSP21, 20.900, 6.000, 4.300, 9.400
RPS15A, RPS15A, 6396.900, 3211.600, 6375.500, 19440.200
TAF1, TAF1, 50.600, 41.600, 49.300, 132.700
GINS4, GINS4, 64.800, 10.100, 74.700, 227.400
J04168, J04168, 31.800, 6.900, 9.800, 25.600
MYO15A, MYO15A, 216.400, 25.500, 38.000, 67.100
LOC100133772, LOC100133772, 296.900, 91.900, 40.800, 196.900
PION, PION, 1004.300, 88.900, 38.300, 48.000
AP1G2, AP1G2, 476.900, 169.500, 97.600, 22.100
RBM42, RBM42, 454.000, 122.300, 423.300, 1016.300
HCN2, HCN2, 23.600, 2.000, 5.400, 149.000
MT4, MT4, 131.800, 17.500, 16.200, 53.600
UTP3, UTP3, 139.300, 55.100, 66.000, 1139.400
CKLF, CKLF, 1472.000, 70.600, 182.600, 370.400
RUSC1, RUSC1, 424.400, 353.400, 455.000, 576.600
MBNL1, MBNL1, 25.600, 12.500, 1.100, 56.100
NUP160, NUP160, 8.800, 12.900, 3.200, 45.100
GRIK5, GRIK5, 202.500, 65.800, 115.900, 927.600
USP21, USP21, 441.900, 114.400, 214.600, 246.200
HAND1, HAND1, 118.500, 34.700, 39.000, 125.100
ATAD3C, ATAD3C, 165.600, 78.700, 164.900, 393.900
LOC441204, LOC441204, 6.600, 1.700, 2.600, 11.600
ORMDL2, ORMDL2, 1114.300, 405.500, 520.400, 1016.400
SERPINB1, SERPINB1, 3920.000, 357.300, 81.500, 211.200
FGA, FGA, 33.900, 56.000, 68.300, 112.600
IGFBP1, IGFBP1, 2.000, 0.900, 13.500, 7.400
SLC1A1, SLC1A1, 126.500, 808.500, 38.800, 343.300
DHX57, DHX57, 89.900, 12.900, 41.200, 110.100
AF234262, AF234262, 6.300, 0.500, 1.400, 29.600
PSAT1, PSAT1, 215.700, 24.600, 3689.600, 377.500
GDPD3, GDPD3, 681.400, 221.700, 61.500, 212.800
PTPN21, PTPN21, 26.500, 15.500, 27.700, 42.800
TBR1, TBR1, 92.200, 19.200, 18.700, 75.200
TBC1D1, TBC1D1, 12.900, 1.200, 23.700, 52.600
IFNG, IFNG, 91.000, 22.000, 21.100, 56.700
FOS, FOS, 7805.400, 79.500, 4.500, 11.000
IQGAP1, IQGAP1, 11108.000, 45.700, 295.000, 1111.700
ZNF226, ZNF226, 101.400, 35.500, 75.700, 268.700
EMD, EMD, 285.500, 74.100, 218.300, 585.600
RETN, RETN, 267.300, 9.800, 2.600, 123.400
APH1A, APH1A, 643.600, 239.700, 461.800, 1115.900
CCL8, CCL8, 22.400, 30.200, 23.200, 63.800
C14orf1, C14orf1, 31.800, 79.000, 241.600, 563.300
CCDC82, CCDC82, 102.000, 13.300, 36.700, 71.200
PUS7, PUS7, 230.800, 59.500, 215.900, 360.100
PAFAH2, PAFAH2, 61.000, 39.100, 13.000, 148.500
NPEPL1, NPEPL1, 454.800, 53.200, 59.900, 235.900
TUBB6, TUBB6, 180.200, 116.500, 828.500, 3484.300
FOXL2, FOXL2, 51.300, 10.600, 27.500, 35.000
LATS1, LATS1, 113.700, 19.800, 51.800, 99.600
HTR6, HTR6, 286.500, 25.000, 23.800, 144.600
BAZ2A, BAZ2A, 21.600, 18.500, 36.100, 26.700
AK024214, AK024214, 16.700, 0.300, 1.000, 36.700
KCNQ2, KCNQ2, 12.500, 3.200, 3.500, 10.300
SPOCK2, SPOCK2, 615.300, 174.900, 75.900, 228.900
X73110, X73110, 14.800, 4.600, 25.700, 46.100
SECISBP2L, SECISBP2L, 275.900, 22.900, 74.500, 399.200
MARCH6, MARCH6, 64.000, 14.800, 14.500, 150.900
HTATIP2, HTATIP2, 203.400, 36.000, 30.700, 37.900
FGF2, FGF2, 25.400, 3.000, 91.000, 24.600
FXYD7, FXYD7, 154.400, 36.700, 30.700, 299.200
CCDC33, CCDC33, 136.900, 26.700, 33.600, 110.700
PRODH, PRODH, 25.900, 425.200, 14.300, 26.500
AW971248, AW971248, 20.000, 35.400, 2.500, 95.500
DDX6, DDX6, 223.900, 21.100, 15.700, 175.500
SLC43A1, SLC43A1, 272.500, 53.800, 87.100, 215.600
NTN1, NTN1, 158.700, 27.900, 35.300, 91.500
ING4, ING4, 329.400, 73.200, 83.900, 182.000
DPH2, DPH2, 81.800, 56.600, 170.300, 143.500
VPS28, VPS28, 1800.800, 376.800, 189.900, 1151.400
FCGR2C, FCGR2C, 21.900, 5.500, 9.100, 17.700
DIAPH1, DIAPH1, 553.900, 123.400, 121.400, 811.500
CEP76, CEP76, 56.900, 14.700, 88.600, 114.400
CORO1A, CORO1A, 10258.100, 348.500, 34.300, 371.000
TRAF4, TRAF4, 38.000, 84.900, 142.700, 411.200
ZNF460, ZNF460, 59.200, 17.400, 22.600, 75.300
RRM2, RRM2, 272.100, 250.600, 1510.300, 3615.800
OS9, OS9, 1132.000, 156.800, 177.000, 757.500
SLC4A1AP, SLC4A1AP, 461.900, 77.400, 261.300, 428.200
COG5, COG5, 417.500, 173.400, 252.800, 848.200
COPS8, COPS8, 66.500, 14.800, 51.000, 110.000
DKFZp547G183, DKFZp547G183, 58.000, 11.300, 14.600, 43.900
AKAP9, AKAP9, 106.300, 51.300, 2.100, 42.800
NGLY1, NGLY1, 1351.800, 167.700, 227.400, 698.500
NCBP2, NCBP2, 169.400, 46.600, 247.400, 609.600
C17orf42, C17orf42, 192.000, 45.800, 133.900, 423.800
HNRNPAB, HNRNPAB, 626.900, 1003.900, 1782.500, 3590.300
GPSM3, GPSM3, 1063.600, 88.800, 65.000, 136.700
SLC20A1, SLC20A1, 1405.300, 530.900, 443.700, 5699.000
SIL1, SIL1, 24.500, 33.900, 170.200, 233.200
LDB2, LDB2, 59.600, 19.400, 3.100, 3059.200
AV726646, AV726646, 227.900, 28.500, 107.000, 401.700
ASB6, ASB6, 134.900, 41.500, 97.800, 279.600
KLK5, KLK5, 117.600, 27.300, 50.100, 80.800
SMAD5OS, SMAD5OS, 145.500, 31.300, 42.100, 111.200
UNC93A, UNC93A, 17.500, 1.700, 3.800, 33.400
SPTB, SPTB, 42.400, 14.500, 2.100, 94.900
PGAP3, PGAP3, 329.000, 210.400, 189.500, 372.100
LOC391081, LOC391081, 3.200, 1.800, 2.500, 26.400
AL117549, AL117549, 32.500, 2.500, 1.900, 102.000
EFEMP2, EFEMP2, 152.800, 34.000, 85.200, 649.400
NM_015877, NM_015877, 43.500, 0.900, 5.500, 6.500
EFNB2, EFNB2, 5.600, 61.500, 66.800, 1491.600
AF203728, AF203728, 101.200, 16.500, 73.300, 91.300
C21orf62, C21orf62, 38.300, 20.000, 30.600, 80.900
PCM1, PCM1, 657.600, 94.200, 116.600, 1068.200
BE551361, BE551361, 105.900, 30.900, 66.100, 200.600
FMO5, FMO5, 14.200, 52.600, 3.000, 9.800
TSG101, TSG101, 1525.600, 334.800, 427.900, 1063.000
ATRIP, ATRIP, 956.300, 173.300, 333.300, 542.800
CEBPG, CEBPG, 357.100, 132.300, 371.400, 224.600
GTF3C4, GTF3C4, 246.400, 62.500, 233.200, 480.300
AW301806, AW301806, 141.100, 14.500, 129.600, 97.100
ABHD3, ABHD3, 3327.700, 265.700, 62.600, 704.400
TNFRSF1B, TNFRSF1B, 4915.200, 80.600, 11.000, 2055.100
CLEC1A, CLEC1A, 183.000, 37.600, 32.300, 207.000
FAM69A, FAM69A, 148.300, 76.000, 70.500, 62.200
IQSEC1, IQSEC1, 3103.600, 76.300, 22.200, 115.300
PIGN, PIGN, 23.700, 45.300, 97.900, 290.200
PATZ1, PATZ1, 79.500, 49.700, 55.200, 74.000
RBM22, RBM22, 1579.400, 112.800, 323.300, 748.800
AEBP1, AEBP1, 62.300, 52.300, 12.300, 137.000
RPL21P80, RPL21P80, 69.200, 56.800, 36.000, 107.200
BAG2, BAG2, 101.200, 26.500, 125.600, 93.300
PLBD1, PLBD1, 19879.700, 299.300, 68.500, 96.900
PAQR5, PAQR5, 13.700, 21.800, 6.500, 77.000
THNSL1, THNSL1, 15.500, 8.800, 10.200, 31.300
ANKRD2, ANKRD2, 29.700, 8.500, 6.000, 23.200
K00627, K00627, 42.700, 2.900, 14.200, 59.300
JAM2, JAM2, 36.200, 52.600, 99.600, 214.300
SNRPN, SNRPN, 55.100, 2.400, 24.800, 79.800
ALX4, ALX4, 67.400, 5.600, 11.900, 62.400
CACNA1S, CACNA1S, 22.300, 17.600, 22.300, 83.100
TRIM38, TRIM38, 1651.000, 94.100, 166.300, 423.200
CORIN, CORIN, 27.000, 1.900, 6.300, 68.300
TMCC1, TMCC1, 261.100, 37.900, 21.300, 159.700
PLEKHG6, PLEKHG6, 159.300, 318.500, 89.500, 161.900
LRRC40, LRRC40, 253.400, 68.700, 214.700, 444.900
